Timestamp,Username,VideoID,Comment,Date
2024-02-04T04:05:49Z,@johnlee7799,U4g3J0akmgY,"&quot;Kalau substansinya kuat, tidak perlu banyak atraksi. Tapi kalau substansinya lemah, harus ditutupi dengan atraksi. Yang kedua, ketika kita menyampaikan gagasan, akan bisa terlihat mana gagasan yang autentik mana yang kosmetik. Jadi bagi kami ini adalah sebuah kesempatan bagi rakyat untuk melihat mana yang substantif dan mana yang otentik, karena kepada mereka lah kita titipkan kepercayaan untuk masa depan kita.&quot; <br>~ ❤️Anies R. Baswedan👍🇮🇩 ~ <br>Read • Think • Vote ☝️✅️💯🫡",2024-02-04T04:05:49Z
2024-02-04T03:46:21Z,@user-iq3qw9fp3g,U4g3J0akmgY,Janji. Manis. Itu. Belum. Tentu. Manis. Yang. Kebanyakan. Janji. Melulu.. Tapi. Kenyata. An. Pahit. Tapi. Ada. Orang. Ndak. Janji. Yang. Pada. Kenyata. An. Membantu. Menolong. Ndak. Minta. Balasan.. Ihlas. Contoh. P. Prabowo.. Itu. Sering. Bantu. Tapi. Ndak. Banyak. Janji.. Bukti. Dan. Nyata. Ada?,2024-02-04T03:46:21Z
2024-02-04T03:40:34Z,@user-iq3qw9fp3g,U4g3J0akmgY,P. Ganjar. Dan. P. Anis. Bisa. 0m0ng.apa.saja.bisa.semua.serba.bisa.ndak.ada.yang.tak.bisa.. Tapi. Jangan. Sok. Bisa. Lihat. Yang. Anda. Sudah. Kerjakan. Dan. Yang. Kao. Lakukan. Apa. Sudah. Sempurna. Mikir. Dong. Jangan. Sok. Manis. Kata. Katamu. Di. Mulut? 😊,2024-02-04T03:40:34Z
2024-02-04T03:30:40Z,@sumberdaya7735,U4g3J0akmgY,HIRAUKAN YANG BERKICAU TETAP PRABOWO PRESIDEN NYA ✌️,2024-02-04T03:30:40Z
2024-02-03T23:35:43Z,@user-dt4lz3qf4g,U4g3J0akmgY,Wowo mesti keok debat😂😂😂,2024-02-03T23:35:43Z
2024-02-03T23:15:06Z,@shafhahnaarfan178,U4g3J0akmgY,barakallah amin,2024-02-03T23:15:06Z
2024-02-03T23:10:06Z,@hardismartosoedirdjo2166,U4g3J0akmgY,AMIN IKN BALIKPAPSN KALTIM MSNTULL BANAR SEKALI,2024-02-03T23:10:06Z
2024-02-03T19:48:42Z,@ninaberliana94ul,U4g3J0akmgY,"Apa janji capres dan cawapres bagi kesejahteraan guru, ulama, rakyat NKRI agar lebih sejahtera dan aman???? Elit politik jangan sampe menikmati keindahan hidup diatas penderitaan rakyat... Karena yang memilih adalah rakyat.",2024-02-03T19:48:42Z
2024-02-03T16:00:45Z,@lerresomega561,U4g3J0akmgY,Semakin Mantab pilih paslon 01 Anis Baswedan dan Muhaimin iskandar,2024-02-03T16:00:45Z
2024-02-03T15:59:55Z,@oktavianusasanlodan5982,U4g3J0akmgY,Siap Coblos 02❤❤ Pak Prabowo Gibran,2024-02-03T15:59:55Z
2024-02-03T12:17:48Z,@fadlungani8836,U4g3J0akmgY,"siapa menjatuhkn orang lain!maka dialah yg Allah jatuhkan,,walau diaberiman,berakhlak,pintr mengaji,,klu menjelkn orng lain,,d mTa Allah  tdk baik,,masyarkt pun menilai mana yg baik dn terbaik",2024-02-03T12:17:48Z
2024-02-03T05:21:05Z,@yogiarizzky2868,U4g3J0akmgY,Metro skip,2024-02-03T05:21:05Z
2024-02-03T04:20:37Z,@aansetiawan4086,U4g3J0akmgY,Prabowo Subianto,2024-02-03T04:20:37Z
2024-02-02T07:20:23Z,@bangherman624,U4g3J0akmgY,MANA PENGHIANAT DAN MANA YG BERMATABAT.. TUMBANGKAN 02.😅😅😅😅01 DAN 03 BERSATU.❤,2024-02-02T07:20:23Z
2024-02-02T06:05:01Z,@kiwimaori7,U4g3J0akmgY,Nahh…gitu dong mulai jam 16.00 waktu Indonesia 👍 berarti jam 22.00 waktu Newzealand 😊 jd nggak usah begadang seperti biasanya 👌👌👌,2024-02-02T06:05:01Z
2024-02-02T06:00:42Z,@jasmine_1908,U4g3J0akmgY,"<a href=""http://www.youtube.com/results?search_query=%23aminuntukindonesia"">#AMINUntukIndonesia</a><br><br><a href=""http://www.youtube.com/results?search_query=%23bismillahperubahan"">#BismillahPerubahan</a><br><br>NASDEM PARTENYA<br>ANIES PRESIDENT KITA SEMUA.<br><br><a href=""http://www.youtube.com/results?search_query=%23bismillahhirahmannirrohim"">#BISMILLAHHIRAHMANNIRROHIM</a>",2024-02-02T06:00:42Z
2024-02-02T05:58:52Z,@BoheMian-so2no,U4g3J0akmgY,Metrotv ? <br>Skip deh 😢,2024-02-02T05:58:52Z
